input_prompt,true_ans,closest_ans,exact solution found
Bi[[077][777][077]]to[[000077077][000777777][000077077][077077077][777777777][077077077][000077077][000777777][000077077]]i[[404][000][040]]to[[404000404][000000000][040000040][000000000][000000000][000000000][000404000][000000000][000040000]]EttttTi[[000][002][202]]o,[[000000000][000000000][000000000][000000000][000000002][000000202][000000000][002000002][202000202]]F,[[000000000][000000000][000000002][002000002][200000202][000200002][200020000][200000002][200000202]]F,
Bi[[077][777][077]]to[[000077077][000777777][000077077][077077077][777777777][077077077][000077077][000777777][000077077]]i[[000][002][202]]to[[000000000][000000000][000000000][000000000][000000002][000000202][000000000][002000002][202000202]]EttttTi[[404][000][040]]o,[[404000404][000000000][040000040][000000000][000000000][000000000][000404000][000000000][000040000]]F,[[404440004][404040004][444044040][404044004][404440004][400000400][444440404][000000444][440044404]]F,
Bi[[404][000][040]]to[[404000404][000000000][040000040][000000000][000000000][000000000][000404000][000000000][000040000]]i[[077][777][077]]to[[000077077][000777777][000077077][077077077][777777777][077077077][000077077][000777777][000077077]]EttttTi[[000][002][202]]o,[[000000000][000000000][000000000][000000000][000000002][000000202][000000000][002000002][202000202]]F,[[000000002][000000002][000020002][000000200][000002002][000200002][200000200][000000200][200000202]]F,
Bi[[404][000][040]]to[[404000404][000000000][040000040][000000000][000000000][000000000][000404000][000000000][000040000]]i[[000][002][202]]to[[000000000][000000000][000000000][000000000][000000002][000000202][000000000][002000002][202000202]]EttttTi[[077][777][077]]o,[[000077077][000777777][000077077][077077077][777777777][077077077][000077077][000777777][000077077]]F,[[000707070][000070700][000707070][007070707][070707070][007070707][000000000][000000000][000000000]]F,
Bi[[000][002][202]]to[[000000000][000000000][000000000][000000000][000000002][000000202][000000000][002000002][202000202]]i[[077][777][077]]to[[000077077][000777777][000077077][077077077][777777777][077077077][000077077][000777777][000077077]]EttttTi[[404][000][040]]o,[[404000404][000000000][040000040][000000000][000000000][000000000][000404000][000000000][000040000]]F,[[400040000][044000000][440000000][000440000][000000400][000000400][400000000][000444000][000440000]]F,
Bi[[000][002][202]]to[[000000000][000000000][000000000][000000000][000000002][000000202][000000000][002000002][202000202]]i[[404][000][040]]to[[404000404][000000000][040000040][000000000][000000000][000000000][000404000][000000000][000040000]]EttttTi[[077][777][077]]o,[[000077077][000777777][000077077][077077077][777777777][077077077][000077077][000777777][000077077]]F,[[000070070][000070070][007007070][070707070][070707007][707007000][070707070][700707070][707007007]]F,
Bi[[077][777][077]]to[[000077077][000777777][000077077][077077077][777777777][077077077][000077077][000777777][000077077]]i[[404][000][040]]to[[404000404][000000000][040000040][000000000][000000000][000000000][000404000][000000000][000040000]]EttttTi[[660][600][066]]o,[[660660000][600600000][066066000][660000000][600000000][066000000][000660660][000600600][000066066]]F,[[006600000][006660000][000000666][000000000][000000000][666600000][000660000][600000660][000660000]]F,
Bi[[077][777][077]]to[[000077077][000777777][000077077][077077077][777777777][077077077][000077077][000777777][000077077]]i[[660][600][066]]to[[660660000][600600000][066066000][660000000][600000000][066000000][000660660][000600600][000066066]]EttttTi[[404][000][040]]o,[[404000404][000000000][040000040][000000000][000000000][000000000][000404000][000000000][000040000]]F,[[404444400][404000400][000440000][444444000][000000000][444400000][000000000][000000000][000044444]]F,
Bi[[404][000][040]]to[[404000404][000000000][040000040][000000000][000000000][000000000][000404000][000000000][000040000]]i[[077][777][077]]to[[000077077][000777777][000077077][077077077][777777777][077077077][000077077][000777777][000077077]]EttttTi[[660][600][066]]o,[[660660000][600600000][066066000][660000000][600000000][066000000][000660660][000600600][000066066]]F,[[000000660][000000666][600000000][666660000][660000666][606000000][000066000][600000660][606600000]]F,
Bi[[404][000][040]]to[[404000404][000000000][040000040][000000000][000000000][000000000][000404000][000000000][000040000]]i[[660][600][066]]to[[660660000][600600000][066066000][660000000][600000000][066000000][000660660][000600600][000066066]]EttttTi[[077][777][077]]o,[[000077077][000777777][000077077][077077077][777777777][077077077][000077077][000777777][000077077]]F,[[070707070][007070700][000707070][707070707][077070707][707000700][000770777][000000000][000777777]]F,
Bi[[660][600][066]]to[[660660000][600600000][066066000][660000000][600000000][066000000][000660660][000600600][000066066]]i[[077][777][077]]to[[000077077][000777777][000077077][077077077][777777777][077077077][000077077][000777777][000077077]]EttttTi[[404][000][040]]o,[[404000404][000000000][040000040][000000000][000000000][000000000][000404000][000000000][000040000]]F,[[404444000][440000004][444000000][444440000][400000000][444400000][000444000][000000444][000000444]]F,
Bi[[660][600][066]]to[[660660000][600600000][066066000][660000000][600000000][066000000][000660660][000600600][000066066]]i[[404][000][040]]to[[404000404][000000000][040000040][000000000][000000000][000000000][000404000][000000000][000040000]]EttttTi[[077][777][077]]o,[[000077077][000777777][000077077][077077077][777777777][077077077][000077077][000777777][000077077]]F,[[000000000][000000000][000000000][707070070][000000000][000707070][000707070][000000000][000000000]]F,
Bi[[077][777][077]]to[[000077077][000777777][000077077][077077077][777777777][077077077][000077077][000777777][000077077]]i[[404][000][040]]to[[404000404][000000000][040000040][000000000][000000000][000000000][000404000][000000000][000040000]]EttttTi[[222][000][022]]o,[[222222222][000000000][022022022][000000000][000000000][000000000][000222222][000000000][000022022]]F,[[222222000][000200000][200000000][000200000][000000000][000200000][000200000][000000000][000200000]]F,
Bi[[077][777][077]]to[[000077077][000777777][000077077][077077077][777777777][077077077][000077077][000777777][000077077]]i[[222][000][022]]to[[222222222][000000000][022022022][000000000][000000000][000000000][000222222][000000000][000022022]]EttttTi[[404][000][040]]o,[[404000404][000000000][040000040][000000000][000000000][000000000][000404000][000000000][000040000]]F,[[404440000][404000004][444000000][400000444][444000000][000444400][000000000][000000444][000000444]]F,
Bi[[404][000][040]]to[[404000404][000000000][040000040][000000000][000000000][000000000][000404000][000000000][000040000]]i[[077][777][077]]to[[000077077][000777777][000077077][077077077][777777777][077077077][000077077][000777777][000077077]]EttttTi[[222][000][022]]o,[[222222222][000000000][022022022][000000000][000000000][000000000][000222222][000000000][000022022]]F,[[222222222][000200000][000200000][000000000][000000000][000000000][000000000][000000000][000000000]]F,
Bi[[404][000][040]]to[[404000404][000000000][040000040][000000000][000000000][000000000][000404000][000000000][000040000]]i[[222][000][022]]to[[222222222][000000000][022022022][000000000][000000000][000000000][000222222][000000000][000022022]]EttttTi[[077][777][077]]o,[[000077077][000777777][000077077][077077077][777777777][077077077][000077077][000777777][000077077]]F,[[000707070][000070700][000000707][000070007][707077777][000007000][000700707][000000000][777777777]]F,
Bi[[222][000][022]]to[[222222222][000000000][022022022][000000000][000000000][000000000][000222222][000000000][000022022]]i[[077][777][077]]to[[000077077][000777777][000077077][077077077][777777777][077077077][000077077][000777777][000077077]]EttttTi[[404][000][040]]o,[[404000404][000000000][040000040][000000000][000000000][000000000][000404000][000000000][000040000]]F,[[404044404][440000400][444444004][400440044][404044004][404000000][444444404][400000000][444440444]]F,
Bi[[222][000][022]]to[[222222222][000000000][022022022][000000000][000000000][000000000][000222222][000000000][000022022]]i[[404][000][040]]to[[404000404][000000000][040000040][000000000][000000000][000000000][000404000][000000000][000040000]]EttttTi[[077][777][077]]o,[[000077077][000777777][000077077][077077077][777777777][077077077][000077077][000777777][000077077]]F,[[000770000][000707000][000707000][707070007][077070707][707007000][000000000][000000000][000000000]]F,
Bi[[077][777][077]]to[[000077077][000777777][000077077][077077077][777777777][077077077][000077077][000777777][000077077]]i[[404][000][040]]to[[404000404][000000000][040000040][000000000][000000000][000000000][000404000][000000000][000040000]]EttttTi[[707][707][770]]o,[[707000707][707000707][770000770][707000707][707000707][770000770][707707000][707707000][770770000]]F,[[007070007][000700000][707707070][707070070][007070707][007000700][707777777][000000000][777777777]]F,
